Date,ROI,Total Value,Total Investment
6/4/21 11:08,-5.66,3790.0,4017.37
6/4/21 13:02,-6.04,3774.87,4017.37
6/4/21 13:28,-5.53,3795.25,4017.37
6/4/21 14:40,-5.17,3809.8,4017.37
6/4/21 15:40,-5.01,3816.09,4017.37
6/4/21 16:17,-7.29,3724.31,4017.37
6/4/21 16:47,-5.83,3783.18,4017.37
6/4/21 16:58,-6.45,3758.45,4017.37
6/4/21 20:29,-3.05,3894.99,4017.37
6/5/21 10:02,-8.16,3689.53,4017.37
6/5/21 11:02,-8.47,3677.29,4017.37
6/5/21 12:02,-8.28,3684.65,4017.37
6/5/21 13:02,-8.88,3660.53,4017.37
6/5/21 14:02,-8.76,3665.54,4017.37
6/5/21 15:02,-11.03,3574.2,4017.37
6/5/21 16:03,-10.36,3600.97,4017.37
6/5/21 21:40,-7.42,3719.22,4017.37
6/5/21 21:41,-7.47,3717.27,4017.37
6/6/21 9:00,-6.41,3759.9,4017.37
6/6/21 10:00,-5.92,3779.63,4017.37
6/6/21 11:01,-6.9,3740.3,4017.37
6/6/21 12:01,-7.39,3720.64,4017.37
6/6/21 13:01,-8.04,3694.53,4017.37
6/6/21 14:01,-6.93,3739.13,4017.37
6/6/21 15:01,-6.87,3741.31,4017.37
6/6/21 16:02,-7.85,3701.99,4017.37
6/6/21 17:02,-6.86,3741.62,4017.37
6/6/21 21:20,-5.17,3809.49,4017.37
6/6/21 21:26,-5.5,3796.54,4017.37
6/7/21 8:09,-5.67,3789.78,4017.37
6/7/21 9:09,-5.64,3790.9,4017.37
6/7/21 10:10,-7.31,3723.9,4017.37
6/7/21 11:10,-7.28,3724.96,4017.37
6/7/21 12:10,-7.78,3704.95,4017.37
6/7/21 13:10,-7.61,3711.51,4017.37
6/7/21 14:40,-12.42,3518.44,4017.37
6/7/21 15:29,-12.21,3526.72,4017.37
6/7/21 16:31,-13.64,3469.31,4017.37
6/7/21 20:06,-17.66,3307.94,4017.37
6/7/21 21:19,-14.65,3855.65,4517.37
6/8/21 8:21,-20.67,3583.77,4517.37
6/8/21 9:00,-18.22,3694.43,4517.37
6/8/21 10:00,-16.93,3752.74,4517.37
6/8/21 11:00,-16.27,3782.26,4517.37
6/8/21 12:00,-14.15,3878.14,4517.37
6/8/21 13:00,-13.52,3906.45,4517.37
6/8/21 14:00,-12.08,3971.85,4517.37
6/8/21 15:00,-12.62,3947.3,4517.37
6/8/21 16:01,-12.67,3945.17,4517.37
6/8/21 17:01,-12.71,3943.35,4517.37
6/9/21 8:00,-13.22,3920.01,4517.37
6/9/21 9:00,-9.46,4089.98,4517.37
6/9/21 10:00,-9.15,4104.19,4517.37
6/9/21 11:01,-9.41,4092.51,4517.37
6/9/21 12:01,-10.68,4035.12,4517.37
6/9/21 13:01,-10.47,4044.45,4517.37
6/9/21 14:01,-10.36,4049.45,4517.37
6/9/21 15:01,-9.91,4069.72,4517.37
6/9/21 16:01,-8.94,4113.32,4517.37
6/9/21 17:01,-8.24,4145.03,4517.37
6/9/21 18:01,-9.17,4102.99,4517.37
6/10/21 9:00,-11.53,3996.63,4517.37
6/10/21 10:00,-11.98,3976.39,4517.37
6/10/21 11:00,-12.45,3955.13,4517.37
6/10/21 12:00,-11.98,3976.13,4517.37
6/10/21 13:00,-12.55,3950.56,4517.37
6/10/21 14:00,-12.42,3956.53,4517.37
6/10/21 15:01,-12.31,3961.14,4517.37
6/10/21 16:01,-11.86,3981.73,4517.37
6/10/21 17:01,-12.48,3953.48,4517.37
6/10/21 18:01,-13.66,3900.41,4517.37
6/11/21 8:51,-14.11,3880.18,4517.37
6/11/21 9:51,-15.19,3831.09,4517.37
6/11/21 10:52,-14.8,3848.93,4517.37
6/11/21 11:52,-15.1,3835.45,4517.37
6/11/21 12:52,-15.14,3833.36,4517.37
6/11/21 13:52,-15.38,3822.48,4517.37
6/11/21 14:52,-16.72,3762.28,4517.37
6/11/21 15:52,-16.23,3784.26,4517.37
6/11/21 16:52,-16.59,3768.12,4517.37
6/11/21 17:52,-16.95,3751.56,4517.37
6/12/21 9:00,-17.44,3729.76,4517.37
6/12/21 10:00,-17.21,3739.86,4517.37
6/12/21 11:00,-16.54,3770.0,4517.37
6/12/21 12:00,-16.07,3791.27,4517.37
6/12/21 13:00,-16.63,3765.96,4517.37
6/12/21 14:00,-16.47,3773.39,4517.37
6/12/21 15:00,-16.2,3785.5,4517.37
6/12/21 16:01,-16.52,3771.18,4517.37
6/12/21 17:01,-17.04,3747.7,4517.37
6/12/21 18:01,-16.38,3777.47,4517.37
6/13/21 9:06,-18.19,3695.75,4517.37
6/13/21 10:06,-16.32,3780.0,4517.37
6/13/21 11:06,-14.76,3850.62,4517.37
6/13/21 12:06,-14.17,3877.15,4517.37
6/13/21 13:06,-13.42,3911.08,4517.37
6/13/21 14:07,-11.11,4015.4,4517.37
6/13/21 15:07,-11.02,4019.53,4517.37
6/13/21 16:07,-11.94,3978.17,4517.37
6/13/21 17:07,-11.62,3992.64,4517.37
6/14/21 8:01,-9.42,4091.64,4517.37
6/14/21 9:01,-8.5,4133.2,4517.37
6/14/21 10:01,-8.75,4121.95,4517.37
6/14/21 11:01,-8.39,4138.36,4517.37
6/14/21 12:01,-9.79,4074.94,4517.37
6/14/21 13:02,-9.78,4075.37,4517.37
6/14/21 14:02,-9.59,4084.25,4517.37
6/14/21 15:02,-8.91,4114.94,4517.37
6/14/21 16:02,-9.23,4100.39,4517.37
6/14/21 17:02,-7.91,4160.24,4517.37
6/14/21 18:02,-8.03,4154.68,4517.37
6/14/21 23:04,-7.16,4270.83,4600.01
6/14/21 23:58,-7.19,4269.1,4600.01
6/15/21 8:30,-8.64,4567.95,5000.01
6/15/21 9:30,-8.33,4583.65,5000.01
6/15/21 10:30,-8.14,4593.02,5000.01
6/15/21 11:30,-6.55,4672.28,5000.01
6/15/21 12:30,-8.2,4590.12,5000.01
6/15/21 13:30,-8.7,4565.05,5000.01
6/15/21 14:30,-8.66,4567.14,5000.01
6/15/21 15:31,-8.31,4584.43,5000.01
6/15/21 16:31,-8.07,4596.26,5000.01
6/15/21 17:31,-9.24,4537.81,5000.01
6/15/21 18:31,-9.88,4505.98,5000.01
6/15/21 19:31,-9.21,4539.36,5000.01
6/16/21 9:00,-11.78,4411.04,5000.01
6/16/21 10:00,-12.25,4387.46,5000.01
6/16/21 11:00,-11.13,4443.54,5000.01
6/16/21 12:00,-11.16,4442.15,5000.01
6/16/21 13:00,-11.27,4436.56,5000.01
6/16/21 14:00,-11.55,4422.68,5000.01
6/16/21 15:01,-11.02,4449.25,5000.01
6/16/21 16:01,-11.82,4409.15,5000.01
6/16/21 17:01,-12.22,4388.92,5000.01
6/16/21 18:01,-11.11,4444.39,5000.01
6/16/21 19:01,-10.64,4468.08,5000.01
6/16/21 20:01,-10.41,4479.61,5000.01
6/17/21 8:15,-10.97,4451.41,5000.01
6/17/21 9:15,-10.78,4461.06,5000.01
6/17/21 10:16,-12.61,4369.31,5000.01
6/17/21 11:16,-13.2,4339.86,5000.01
6/17/21 12:16,-13.15,4342.56,5000.01
6/17/21 13:16,-12.78,4360.88,5000.01
6/17/21 14:16,-13.47,4326.68,5000.01
6/17/21 15:16,-13.32,4334.16,5000.01
6/17/21 16:16,-12.22,4389.11,5000.01
6/17/21 17:16,-12.16,4391.82,5000.01
6/17/21 18:16,-12.99,4350.74,5000.01
6/17/21 19:17,-13.92,4304.06,5000.01
6/18/21 8:39,-17.32,4133.88,5000.01
6/18/21 9:39,-16.88,4156.14,5000.01
6/18/21 10:40,-17.88,4106.2,5000.01
6/18/21 11:40,-19.32,4034.23,5000.01
6/18/21 12:40,-19.28,4035.89,5000.01
6/18/21 13:40,-18.93,4053.36,5000.01
6/18/21 14:40,-18.09,4095.47,5000.01
6/18/21 15:40,-18.13,4093.41,5000.01
6/18/21 16:40,-17.15,4142.28,5000.01
6/18/21 17:41,-17.12,4144.15,5000.01
6/18/21 18:41,-16.72,4164.22,5000.01
6/18/21 19:41,-17.74,4113.17,5000.01
6/19/21 8:00,-16.76,4162.23,5000.01
6/19/21 9:00,-16.88,4155.83,5000.01
6/19/21 10:00,-17.43,4128.58,5000.01
6/19/21 11:00,-18.05,4097.36,5000.01
6/19/21 12:00,-18.43,4078.29,5000.01
6/19/21 13:00,-17.89,4105.6,5000.01
6/19/21 14:01,-17.72,4113.99,5000.01
6/19/21 15:01,-18.24,4088.14,5000.01
6/19/21 16:01,-19.09,4045.63,5000.01
6/19/21 17:01,-19.57,4021.4,5000.01
6/19/21 18:01,-19.88,4006.21,5000.01
6/19/21 19:01,-19.36,4032.06,5000.01
6/19/21 20:01,-19.43,4028.67,5000.01
6/20/21 9:04,-21.35,3932.4,5000.01
6/20/21 10:04,-21.01,3949.65,5000.01
6/20/21 11:04,-20.54,3972.97,5000.01
6/20/21 12:04,-19.69,4015.68,5000.01
6/20/21 13:04,-18.51,4074.29,5000.01
6/20/21 14:04,-17.32,4134.12,5000.01
6/20/21 15:04,-17.58,4120.79,5000.01
6/20/21 16:04,-17.88,4106.23,5000.01
6/20/21 17:04,-17.62,4118.83,5000.01
6/20/21 18:05,-18.2,4090.05,5000.01
6/20/21 19:05,-19.37,4031.6,5000.01
6/20/21 20:05,-20.46,3977.07,5000.01
6/21/21 7:59,-26.29,3685.53,5000.01
06-21-2021 08:59,-27.27,3636.68,5000.01
06-21-2021 09:59,-29.45,3527.72,5000.01
06-21-2021 11:00,-29.56,3522.06,5000.01
06-21-2021 12:00,-28.03,3598.73,5000.01
06-21-2021 13:00,-28.71,3564.52,5000.01
06-21-2021 14:00,-28.72,3564.02,5000.01
06-21-2021 15:00,-31.57,3489.98,5100.01
06-21-2021 16:00,-32.96,3419.19,5100.01
06-21-2021 17:00,-31.64,3554.74,5200.01
06-21-2021 18:40,-29.81,3650.03,5200.01
06-22-2021 08:05,-31.83,4090.03,6000.01
06-22-2021 10:05,-26.6,4403.87,6000.01
06-22-2021 12:05,-26.42,4414.58,6000.01
06-22-2021 14:05,-26.67,4399.55,6000.01
06-22-2021 16:05,-28.34,4299.56,6000.01
06-22-2021 18:05,-25.3,4481.82,6000.01
06-22-2021 21:03,-23.46,4592.36,6000.01
06-23-2021 00:03,-22.41,4655.18,6000.01
06-23-2021 03:03,-23.03,4618.01,6000.01
06-23-2021 06:03,-23.1,4613.84,6000.01
06-23-2021 09:03,-23.94,4563.32,6000.01
06-23-2021 12:03,-25.24,4485.58,6000.01
06-23-2021 15:04,-25.25,4485.29,6000.01
06-23-2021 18:04,-25.1,4494.21,6000.01
06-23-2021 21:04,-25.2,4488.2,6000.01
06-24-2021 00:04,-24.29,4542.81,6000.01
06-24-2021 03:04,-23.34,4599.89,6000.01
06-24-2021 06:04,-21.99,4680.35,6000.01
06-24-2021 09:04,-21.75,4694.98,6000.01
06-24-2021 12:04,-20.25,4784.89,6000.01
06-24-2021 15:04,-20.78,4753.38,6000.01
06-24-2021 18:05,-21.99,4680.72,6000.01
06-24-2021 21:05,-20.78,4753.31,6000.01
06-25-2021 00:05,-22.26,4664.62,6000.01
06-25-2021 03:05,-23.88,4566.93,6000.01
06-25-2021 06:05,-25.42,4475.01,6000.01
06-25-2021 09:05,-25.92,4444.85,6000.01
06-25-2021 12:05,-27.11,4373.51,6000.01
